Ministry,Budget_07-08,Budget_20-21,Budget_10-11,Budget_06-07,Budget_15-16,Budget_22-23,Budget_12-13,Budget_13-14,Budget_23-24,Budget_21-22,Budget_09-10,Budget_19-20,Budget_05-06,Budget_16-17,Growth_05-06_to_06-07,Growth_06-07_to_07-08,Growth_07-08_to_09-10,Growth_09-10_to_10-11,Growth_10-11_to_12-13,Growth_12-13_to_13-14,Growth_13-14_to_15-16,Growth_15-16_to_16-17,Growth_16-17_to_19-20,Growth_19-20_to_20-21,Growth_20-21_to_21-22,Growth_21-22_to_22-23,Growth_22-23_to_23-24,CAGR
"ayurveda, yoga and naturopathy, unani, siddha and homoeopathy",563.88,0.0,0.0,447.89,300.0,0.0,0.0,0.0,0.0,0.0,922.0,0.0,405.98,394.0,10.323168628996495,25.896983634374514,63.50996665957296,-100.0,0.0,0.0,0.0,31.333333333333336,-100.0,0.0,0.0,0.0,0.0,0.0
b. animal husbandry dairying and fisheries,955.0,0.0,0.0,819.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.23,0.0,16.48330202717537,-100.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0
b. doner,1300.0,0.0,0.0,1300.0,1798.0,0.0,1700.0,1780.0,0.0,0.0,1374.0,0.0,1046.5,1600.0,24.22360248447205,0.0,5.6923076923076925,-100.0,0.0,4.705882352941177,1.0112359550561798,-11.012235817575084,-100.0,0.0,0.0,0.0,0.0,0.0
b. finance,36808.2,0.0,0.0,29562.28,0.0,0.0,0.0,0.0,0.0,0.0,63946.59,0.0,26500.33,0.0,11.5543844170997,24.51069403307187,73.7291962117137,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bb. tribal affairs,0.0,0.0,0.0,0.0,3753.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
bb. water resources river development and ganga rejuvenation,0.0,8960.39,0.0,0.0,4232.43,18967.88,0.0,0.0,20054.67,9022.57,0.0,8041.25,0.0,6192.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.30058855078523,29.86368048164831,11.430312451422346,0.6939430091770592,110.2270195742455,5.729633464572726,0.0
biotechnology,1389.4,2786.76,1222.0,534.6,1625.14,2581.0,1500.39,1502.06,2683.86,3502.37,1024.0,2580.34,458.6,1820.0,16.572176188399474,159.89524878413766,-26.29912192313229,19.3359375,22.781505728314247,0.1113043941908334,8.194080129954873,11.99035160047749,41.77692307692308,7.99972096700435,25.678924629318622,-26.307043516247568,3.9852770244091484,14.557904817557965
cabinet,0.0,1140.38,0.0,0.0,0.0,1711.04,0.0,0.0,1258.68,2098.04,0.0,828.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.58581166676721,83.9772707343166,-18.44578749690187,-26.437722087151666,0.0
capital outlay on defence services,0.0,113734.0,0.0,0.0,0.0,152369.61,0.0,0.0,162600.0,135060.72,0.0,103380.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.015115059594507,18.751402395062165,12.815635811803746,6.714193204274799,0.0
cc. urban development,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
