Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Sector_Share_Lag1,Sector_Share_Growth,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Trend,Inflation_x_Election,GDPGrowth_x_Election
energy and natural resources,17-18,107896.06,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,4.0,4.0,0.0,101509.17,95909.92,0.06291934019360035,11,0.0,0.0
energy and natural resources,18-19,110532.9,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,4.0,4.0,0.0,107896.06,101509.17,0.02443870517607416,12,0.0,0.0
energy and natural resources,19-20,121172.29,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,4.1,4.0,0.02499999999999991,110532.9,107896.06,0.09625541354655498,13,4.8,5.77772470686801
energy and natural resources,20-21,120093.16,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,4.1,4.1,0.0,121172.29,110532.9,-0.00890574899591312,14,0.0,0.0
energy and natural resources,21-22,127492.48,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,4.2,4.1,0.024390243902439046,120093.16,121172.29,0.06161316764418556,15,0.0,0.0
energy and natural resources,22-23,167959.67,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,4.2,4.2,0.0,127492.48,120093.16,0.3174084463648368,16,0.0,0.0
energy and natural resources,23-24,246136.28,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,4.3,4.2,0.023809523809523725,167959.67,127492.48,0.4654486996789169,17,0.0,0.0
food distribution,05-06,26909.99,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,1.5,,,,,,1,0.0,0.0
food distribution,06-07,24967.5,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,1.5,1.5,0.0,26909.99,,-0.07218471653092406,2,0.0,0.0
food distribution,07-08,26592.94,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,1.5,1.5,0.0,24967.5,26909.99,0.0651022329027735,3,0.0,0.0
food distribution,09-10,54079.5,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,1.5,1.5,0.0,26592.94,24967.5,1.0336036557071164,4,12.3,8.49758470221235
food distribution,10-11,57017.97,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,1.5,1.5,0.0,54079.5,26592.94,0.05433611627326429,5,0.0,0.0
food distribution,11-12,62796.66,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,1.6,1.5,0.06666666666666665,57017.97,54079.5,0.10134857484403614,6,0.0,0.0
food distribution,12-13,77539.99,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,1.6,1.6,0.0,62796.66,57017.97,0.23477888792174628,7,0.0,0.0
food distribution,13-14,92310.56,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,1.6,1.6,0.0,77539.99,62796.66,0.19048970731102743,8,0.0,0.0
food distribution,15-16,125972.28,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,1.6,1.6,0.0,92310.56,77539.99,0.36465730464640234,9,0.0,0.0
food distribution,16-17,142027.63,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,1.6,1.6,0.0,125972.28,92310.56,0.12745145201785668,10,0.0,0.0
food distribution,17-18,155031.69,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,1.6,1.6,0.0,142027.63,125972.28,0.09156007179729753,11,0.0,0.0
food distribution,18-19,177344.27000000002,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,1.6,1.6,0.0,155031.69,142027.63,0.14392270380333216,12,0.0,0.0
food distribution,19-20,195709.31000000003,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,1.6,1.6,0.0,177344.27000000002,155031.69,0.10355586904499381,13,4.8,5.77772470686801
food distribution,20-21,125768.37,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,1.8,1.6,0.125,195709.31000000003,177344.27000000002,-0.35737155273808907,14,0.0,0.0
food distribution,21-22,258257.06,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,1.8,1.8,0.0,125768.37,195709.31000000003,1.0534341027080178,15,0.0,0.0
food distribution,22-23,220626.45,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,1.7,1.8,-0.05555555555555558,258257.06,125768.37,-0.1457098985019034,16,0.0,0.0
food distribution,23-24,209052.25,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,1.7,1.7,0.0,220626.45,258257.06,-0.05246061838913696,17,0.0,0.0
governance and administration,05-06,4849.17,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,5.3,,,,,,1,0.0,0.0
governance and administration,06-07,5064.3,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,5.3,5.3,0.0,4849.17,,0.044364293270807265,2,0.0,0.0
governance and administration,07-08,5823.700000000001,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,5.2,5.3,-0.01886792452830177,5064.3,4849.17,0.14995162213928892,3,0.0,0.0
governance and administration,09-10,8884.45,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,5.2,5.2,0.0,5823.700000000001,5064.3,0.5255679379088896,4,12.3,8.49758470221235
governance and administration,10-11,8025.030000000001,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,5.2,5.2,0.0,8884.45,5823.700000000001,-0.09673305606987492,5,0.0,0.0
governance and administration,11-12,9554.5,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,5.1,5.2,-0.019230769230769384,8025.030000000001,8884.45,0.19058744951732254,6,0.0,0.0
governance and administration,12-13,12349.48,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,5.1,5.1,0.0,9554.5,8025.030000000001,0.29253022136166207,7,0.0,0.0
governance and administration,13-14,14822.97,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,5.1,5.1,0.0,12349.48,9554.5,0.20029102439940782,8,0.0,0.0
governance and administration,15-16,19136.36,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,5.0,5.1,-0.019607843137254832,14822.97,12349.48,0.29099364027586927,9,0.0,0.0
governance and administration,16-17,21067.06,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,5.0,5.0,0.0,19136.36,14822.97,0.10089170563262817,10,0.0,0.0
governance and administration,17-18,20831.13,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,5.0,5.0,0.0,21067.06,19136.36,-0.011198999765510753,11,0.0,0.0
governance and administration,18-19,66410.34,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,5.0,5.0,0.0,20831.13,21067.06,2.1880334864215234,12,0.0,0.0
governance and administration,19-20,68254.9,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,5.0,5.0,0.0,66410.34,20831.13,0.027775192838946472,13,4.8,5.77772470686801
governance and administration,20-21,81494.2,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,5.3,5.0,0.06000000000000005,68254.9,66410.34,0.1939684916394282,14,0.0,0.0
governance and administration,21-22,77450.87,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,5.4,5.3,0.018867924528301883,81494.2,68254.9,-0.04961494192224725,15,0.0,0.0
governance and administration,22-23,87283.70999999999,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,5.3,5.4,-0.0185185185185186,77450.87,81494.2,0.12695583664844556,16,0.0,0.0
governance and administration,23-24,94545.62,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,5.3,5.3,0.0,87283.70999999999,77450.87,0.0831989153531627,17,0.0,0.0
infrastructure and transport,05-06,17188.47,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,2.8,,,,,,1,0.0,0.0
infrastructure and transport,06-07,6404.02,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,2.9,2.8,0.03571428571428581,17188.47,,-0.6274234995901322,2,0.0,0.0
infrastructure and transport,07-08,7497.71,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,2.9,2.9,0.0,6404.02,17188.47,0.17078179018803796,3,0.0,0.0
infrastructure and transport,09-10,27453.31,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,3.0,2.9,0.034482758620689724,7497.71,6404.02,2.661559329448592,4,12.3,8.49758470221235
infrastructure and transport,10-11,34495.16,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,3.0,3.0,0.0,27453.31,7497.71,0.2565027677901135,5,0.0,0.0
